ID,Fault_Type,Phase,RMS_Voltage,Peak_Voltage,THD,Duration_ms,DWT_Energy_Level1,DWT_Energy_Level2,DWT_Entropy,Signal_Noise_Ratio_dB,Label
685,Normal,A,232.94,329.42,2.71,243,10.95,9.11,3.23,37.84,0
686,Swell,C,269.49,381.12,3.25,156,65.76,34.86,4.35,24.31,2
687,Sag,A,169.38,239.53,0.34,114,51.58,45.64,1.2,37.27,1
688,Swell,B,279.83,395.73,2.1,267,93.55,7.95,3.2,31.82,2
689,Harmonics,B,236.99,335.16,14.79,245,58.71,41.17,3.04,21.25,4
690,Transient,A,231.63,372.21,4.71,107,37.27,38.51,4.86,34.36,3
691,Transient,B,235.3,378.46,6.55,161,43.46,5.8,3.81,20.43,3
692,Swell,B,264.46,374.0,4.81,228,11.22,21.33,3.4,36.97,2
693,Normal,A,240.22,339.72,2.15,18,40.8,13.75,3.25,26.29,0
694,Harmonics,A,230.42,325.86,8.99,150,59.12,21.17,1.33,23.87,4
695,Normal,B,235.69,333.32,1.42,186,13.38,37.27,3.15,30.17,0
696,Sag,A,164.66,232.86,2.52,295,69.83,9.73,3.69,32.71,1
697,Transient,B,230.99,403.51,7.52,102,99.94,12.89,1.04,22.98,3
698,Sag,A,142.7,201.81,1.06,242,92.77,19.0,1.84,36.97,1
699,Transient,A,220.19,396.28,2.6,123,62.39,21.05,1.66,30.07,3
700,Transient,B,231.03,414.78,5.64,162,13.55,38.36,4.31,39.36,3
701,Swell,C,257.6,364.31,4.54,76,99.26,16.97,4.33,28.54,2
702,Normal,A,236.81,334.9,2.41,213,35.01,27.42,2.32,28.81,0
703,Sag,B,163.79,231.63,4.73,123,88.6,7.69,4.55,26.58,1
704,Harmonics,C,219.41,310.3,13.13,88,27.92,24.12,2.54,38.31,4
705,Sag,C,141.57,200.21,2.35,125,15.24,16.8,2.74,23.14,1
706,Sag,B,158.43,224.05,4.3,253,74.93,47.36,4.53,30.3,1
707,Transient,C,227.42,430.92,6.65,146,95.9,44.34,3.83,34.27,3
708,Swell,A,258.98,366.26,4.07,187,99.95,33.01,2.72,25.76,2
709,Transient,B,220.9,385.88,2.91,221,41.26,16.94,3.74,38.98,3
710,Sag,A,167.04,236.23,4.9,117,42.09,16.76,4.79,34.53,1
711,Sag,A,148.76,210.38,4.41,199,68.5,38.92,3.49,30.8,1
712,Transient,B,228.79,404.93,3.51,190,66.03,5.45,1.78,29.83,3
713,Sag,A,162.57,229.91,2.97,246,36.9,23.49,1.87,39.32,1
714,Harmonics,C,228.96,323.8,12.75,136,57.19,48.33,3.43,39.67,4
715,Swell,A,270.9,383.11,3.24,150,86.91,35.74,1.21,35.66,2
716,Transient,A,231.83,419.86,3.81,84,76.35,33.23,2.89,39.2,3
717,Harmonics,C,233.37,330.03,10.76,111,42.35,43.63,1.93,22.31,4
718,Harmonics,C,232.24,328.44,10.0,203,64.63,13.48,4.22,39.35,4
719,Transient,A,235.54,408.15,5.02,136,70.48,15.83,3.97,35.01,3
720,Normal,C,242.76,343.31,2.33,215,35.67,29.93,1.01,25.66,0
721,Sag,A,142.34,201.3,1.87,11,61.92,11.97,2.42,33.94,1
722,Harmonics,B,223.58,316.19,13.78,176,10.53,8.53,4.53,21.56,4
723,Transient,B,233.33,396.12,8.18,88,88.64,27.58,2.75,26.79,3
724,Harmonics,C,230.2,325.55,9.32,248,65.46,26.73,2.56,38.18,4
725,Transient,A,237.19,405.28,4.77,186,59.56,47.5,1.85,30.4,3
726,Sag,C,157.24,222.38,3.06,32,17.81,32.25,1.23,33.46,1
727,Sag,A,141.56,200.19,3.64,88,55.15,37.65,1.45,28.13,1
728,Swell,B,283.21,400.52,3.67,213,16.4,20.55,3.97,28.76,2
729,Transient,A,231.99,382.61,8.32,137,64.87,16.51,2.63,33.55,3
730,Swell,C,273.92,387.38,5.1,212,46.95,45.44,4.59,33.71,2
731,Sag,B,158.26,223.82,1.65,114,26.05,15.77,2.67,25.02,1
732,Sag,A,146.92,207.77,3.44,222,77.18,45.21,4.03,26.64,1
733,Transient,A,238.36,421.84,4.18,212,15.69,10.93,4.43,32.68,3
734,Sag,C,153.52,217.11,3.52,38,72.47,5.73,2.49,27.03,1
735,Swell,B,276.05,390.4,2.91,213,70.93,41.14,3.25,34.82,2
736,Swell,B,282.47,399.47,1.9,139,37.41,6.12,1.02,24.54,2
737,Sag,A,153.69,217.35,3.43,177,40.53,27.42,2.75,24.37,1
738,Sag,C,147.43,208.49,4.08,57,49.4,15.38,2.16,35.45,1
739,Harmonics,A,231.54,327.45,11.46,201,18.07,20.18,1.36,39.23,4
740,Transient,A,224.31,394.5,6.87,262,31.43,47.23,1.68,22.26,3
741,Transient,B,234.92,419.5,5.58,51,71.13,8.33,4.97,28.16,3
742,Normal,C,230.24,325.61,1.49,80,25.68,48.33,1.7,23.55,0
743,Sag,B,142.28,201.22,2.5,296,97.53,29.48,3.24,30.4,1
744,Harmonics,A,228.26,322.81,12.31,37,82.6,7.24,3.41,36.14,4
745,Sag,A,139.45,197.21,3.26,286,55.28,19.22,3.92,37.49,1
746,Normal,B,220.01,311.14,2.72,191,21.25,9.79,3.75,25.2,0
747,Transient,A,229.77,402.28,5.09,148,66.51,21.44,3.14,35.77,3
748,Normal,A,225.36,318.71,1.76,214,38.48,39.83,1.21,20.26,0
749,Transient,A,237.94,400.79,7.09,141,58.19,47.11,3.39,36.19,3
750,Transient,B,232.23,400.38,4.21,213,96.6,18.05,4.41,27.75,3
751,Transient,C,232.69,392.0,3.45,148,24.35,48.56,4.66,23.34,3
752,Sag,B,150.99,213.53,4.68,124,85.37,18.94,3.03,28.03,1
753,Transient,C,230.51,402.99,2.88,137,43.33,15.18,4.49,36.29,3
754,Sag,A,158.03,223.49,1.11,226,26.17,31.01,4.83,30.06,1
755,Harmonics,B,231.56,327.47,7.41,121,27.36,13.6,4.08,25.31,4
756,Normal,C,236.14,333.95,2.58,279,28.62,21.12,1.6,30.2,0
757,Harmonics,C,230.58,326.09,0.6,279,54.26,45.33,4.23,20.07,4
758,Sag,C,164.58,232.75,1.54,209,13.4,33.95,2.05,21.05,1
759,Normal,A,227.89,322.29,2.43,199,91.3,8.14,1.23,38.54,0
760,Harmonics,C,226.8,320.75,7.45,181,65.38,23.54,4.74,20.97,4
761,Harmonics,A,227.29,321.44,16.04,86,74.98,43.78,3.62,30.23,4
762,Sag,A,156.37,221.15,1.02,75,54.82,18.95,4.25,37.34,1
763,Harmonics,B,228.66,323.37,11.95,150,73.98,48.8,4.16,24.86,4
764,Swell,B,266.44,376.8,3.32,68,70.96,36.62,4.82,30.63,2
765,Normal,C,229.9,325.13,1.89,215,91.25,43.27,2.66,22.25,0
766,Sag,A,160.31,226.71,2.37,255,36.33,12.54,2.52,27.07,1
767,Normal,A,230.72,326.29,2.05,290,85.15,42.91,2.21,28.59,0
768,Normal,A,240.3,339.84,1.75,125,82.2,20.69,3.78,23.19,0
769,Transient,C,235.88,435.99,6.29,19,41.11,32.97,1.16,23.74,3
770,Normal,A,237.23,335.49,1.5,280,58.02,5.01,1.96,24.16,0
771,Swell,C,285.49,403.75,4.29,18,91.23,8.3,4.58,24.56,2
772,Transient,B,232.31,426.02,4.13,205,44.51,11.85,3.67,25.69,3
773,Transient,C,229.96,385.76,8.18,149,92.53,49.86,1.61,37.26,3
774,Normal,A,227.54,321.79,2.66,135,93.95,8.52,3.75,35.7,0
775,Normal,A,229.21,324.16,1.45,114,93.69,26.77,2.96,22.39,0
776,Normal,B,240.87,340.64,1.13,195,51.41,5.68,2.13,28.73,0
777,Harmonics,C,231.37,327.2,7.01,81,54.78,11.97,1.73,27.3,4
778,Transient,C,233.22,388.26,5.29,224,33.2,23.31,2.84,25.95,3
779,Swell,A,280.24,396.32,1.98,82,93.09,36.02,1.51,27.13,2
780,Harmonics,A,234.74,331.97,11.23,63,33.55,8.01,1.11,24.89,4
781,Harmonics,C,228.62,323.31,14.86,76,46.72,13.61,3.07,38.16,4
782,Transient,A,226.91,386.85,5.51,177,58.06,44.58,2.64,29.64,3
783,Normal,B,223.53,316.12,1.96,251,51.48,35.21,1.65,29.73,0
784,Sag,A,156.71,221.63,4.18,189,14.18,33.08,3.5,37.82,1
785,Harmonics,C,228.88,323.69,8.53,234,31.53,17.62,4.28,31.69,4
786,Swell,A,241.67,341.77,4.86,35,87.81,27.48,2.75,32.22,2
787,Harmonics,B,229.35,324.34,13.38,262,53.47,44.91,2.51,34.99,4
788,Swell,B,264.08,373.46,5.56,282,98.33,11.06,2.26,29.71,2
789,Normal,A,230.82,326.42,2.37,98,55.17,32.23,3.24,29.73,0
790,Normal,C,232.26,328.46,1.77,205,21.8,39.48,4.73,38.95,0
791,Sag,A,147.55,208.67,3.49,232,46.6,22.24,4.18,29.13,1
792,Normal,C,231.96,328.05,2.25,212,19.67,9.55,1.05,30.97,0
793,Harmonics,B,228.0,322.44,7.76,289,87.26,29.59,3.28,26.86,4
794,Swell,B,269.75,381.48,3.28,196,40.47,26.3,3.45,37.38,2
795,Sag,A,166.16,234.99,3.83,231,70.17,43.82,1.65,36.25,1
796,Harmonics,B,236.15,333.96,9.34,83,45.55,16.43,4.93,39.66,4
797,Harmonics,B,221.88,313.79,8.89,127,46.79,19.7,3.98,21.59,4
798,Swell,C,266.8,377.31,1.09,297,67.74,6.05,2.72,37.5,2
799,Harmonics,C,231.06,326.77,9.0,298,61.33,7.41,1.56,32.45,4
800,Normal,A,245.45,347.12,2.14,65,85.82,37.51,1.31,22.12,0
801,Normal,C,235.47,333.01,2.89,58,68.79,20.71,4.86,36.03,0
802,Normal,A,221.72,313.56,1.74,58,13.65,46.12,4.33,25.95,0
803,Transient,C,224.53,393.87,7.25,256,10.49,35.08,4.89,32.14,3
804,Sag,B,146.77,207.56,3.63,213,57.89,26.71,3.81,21.36,1
805,Swell,C,269.2,380.71,4.31,228,18.81,30.93,3.21,23.77,2
806,Swell,B,282.22,399.12,1.32,89,14.48,17.08,3.62,30.67,2
807,Transient,C,231.37,431.97,3.72,26,56.13,17.05,2.82,29.42,3
808,Swell,B,273.02,386.11,4.98,122,11.22,12.3,4.94,21.52,2
809,Swell,A,272.95,386.01,3.26,177,43.59,27.2,3.32,23.78,2
810,Swell,C,281.03,397.44,4.94,135,64.38,10.44,1.31,30.55,2
811,Transient,B,234.11,377.68,5.03,70,60.5,35.93,2.3,21.89,3
812,Swell,C,290.0,410.12,2.9,185,82.92,29.15,2.11,21.23,2
813,Swell,A,253.26,358.16,2.38,104,23.55,26.11,3.02,31.7,2
814,Swell,B,280.69,396.96,3.86,54,32.87,42.13,2.94,30.87,2
815,Transient,B,224.02,381.4,4.09,241,49.95,13.46,3.61,22.97,3
816,Harmonics,C,226.06,319.69,9.22,83,69.74,34.96,2.14,29.2,4
817,Harmonics,A,236.42,334.35,9.17,140,56.84,43.74,1.02,20.7,4
818,Harmonics,B,226.82,320.78,10.62,228,96.01,39.74,4.37,35.21,4
819,Transient,C,225.91,406.43,1.39,97,54.75,9.23,2.16,39.67,3
820,Transient,A,236.96,385.25,3.75,287,43.05,46.12,2.47,27.47,3
821,Harmonics,C,230.47,325.93,10.31,170,83.61,6.73,4.48,30.25,4
822,Normal,B,240.46,340.06,1.98,50,88.44,25.1,2.37,22.76,0
823,Transient,A,231.11,391.4,5.78,129,63.93,41.34,1.44,27.95,3
824,Harmonics,A,228.27,322.82,8.4,272,55.33,44.02,4.81,28.1,4
825,Transient,B,226.14,403.26,3.41,269,32.83,44.77,3.25,23.72,3
826,Harmonics,B,232.82,329.26,9.98,96,53.95,20.2,3.2,34.97,4
827,Normal,A,229.21,324.15,1.73,115,60.43,37.79,2.42,32.25,0
828,Normal,B,233.66,330.44,1.76,208,34.5,22.29,4.34,22.97,0
829,Normal,C,232.46,328.75,2.42,81,46.42,22.72,1.77,21.22,0
830,Transient,B,233.52,389.45,5.39,237,87.0,28.88,2.02,33.51,3
831,Swell,B,271.18,383.5,6.74,119,69.74,10.1,3.88,30.01,2
832,Transient,A,234.48,420.01,4.29,175,75.98,9.23,4.81,32.45,3
833,Normal,A,231.46,327.34,1.4,68,73.49,35.23,2.58,20.03,0
834,Normal,A,229.51,324.57,2.94,17,29.99,42.11,3.43,28.89,0
835,Normal,B,232.49,328.79,2.38,186,20.58,49.56,1.84,20.24,0
836,Normal,C,225.51,318.92,2.54,187,62.22,45.68,2.28,33.41,0
837,Normal,C,226.68,320.57,1.49,169,45.75,16.04,2.79,26.41,0
838,Normal,A,232.87,329.32,1.5,268,72.16,28.1,3.6,37.79,0
839,Normal,C,225.37,318.72,1.89,109,13.69,28.73,4.55,36.76,0
840,Swell,A,268.89,380.27,3.21,63,90.46,48.85,1.19,27.12,2
841,Harmonics,C,232.51,328.82,7.33,109,53.52,35.84,4.12,20.4,4
842,Swell,A,278.2,393.44,4.32,104,52.93,33.9,1.15,32.43,2
843,Harmonics,B,224.74,317.83,6.54,98,12.83,37.69,4.34,28.3,4
844,Harmonics,B,231.71,327.68,14.5,209,57.5,28.29,3.31,34.99,4
845,Harmonics,C,224.89,318.05,7.26,76,57.69,32.67,2.93,21.87,4
846,Sag,B,141.64,200.31,4.1,229,89.3,16.55,3.37,38.72,1
847,Normal,A,236.01,333.77,1.93,93,74.01,9.5,1.13,31.21,0
848,Transient,C,227.01,422.17,4.99,232,18.28,19.7,2.75,25.59,3
849,Sag,B,147.79,209.0,3.26,133,93.77,5.24,3.99,38.06,1
850,Swell,B,269.6,381.27,3.17,146,82.91,8.94,3.54,38.29,2
851,Swell,A,288.29,407.7,4.07,65,76.24,18.56,2.85,31.99,2
852,Normal,C,238.07,336.68,2.66,179,77.35,16.79,4.53,37.84,0
853,Transient,A,228.87,413.7,5.18,66,98.43,28.75,4.15,36.81,3
854,Harmonics,A,230.16,325.5,15.45,31,32.4,19.6,2.34,20.51,4
855,Swell,A,283.42,400.82,4.2,150,93.94,33.46,2.15,32.77,2
856,Swell,A,270.01,381.85,4.68,266,45.28,16.86,4.82,32.07,2
857,Swell,C,262.27,370.91,2.63,33,50.85,35.17,2.27,27.62,2
858,Transient,C,230.21,366.95,4.31,234,51.36,21.31,3.35,32.49,3
859,Harmonics,B,233.05,329.58,10.57,235,47.07,37.74,2.81,37.13,4
860,Swell,A,263.74,372.98,3.24,169,21.3,41.61,1.14,30.56,2
861,Normal,A,223.5,316.07,1.95,259,75.7,10.93,3.72,36.85,0
862,Swell,C,282.39,399.35,2.22,244,22.17,30.69,2.63,33.23,2
863,Swell,B,277.45,392.38,2.02,155,98.6,18.4,3.4,35.53,2
864,Normal,C,235.11,332.5,2.51,119,11.39,24.61,1.9,27.77,0
865,Sag,C,134.1,189.65,5.16,40,54.47,37.93,2.54,38.9,1
866,Harmonics,A,220.69,312.11,6.74,256,16.77,36.85,2.93,37.93,4
867,Normal,C,228.45,323.08,1.26,106,29.9,17.11,4.21,20.88,0
868,Swell,C,252.29,356.8,2.38,224,17.88,41.26,3.68,34.65,2
869,Normal,A,224.88,318.03,2.48,35,20.91,10.12,2.64,32.96,0
870,Transient,C,237.96,377.12,3.3,138,19.52,33.28,1.38,21.9,3
871,Transient,C,232.53,428.13,3.16,28,55.88,31.34,2.44,29.51,3
872,Sag,A,141.6,200.25,1.83,245,97.19,49.64,4.16,33.27,1
873,Sag,C,155.93,220.52,2.4,264,92.24,44.6,5.0,24.88,1
874,Transient,A,230.7,384.51,4.42,142,12.35,35.97,3.42,38.72,3
875,Harmonics,A,223.95,316.72,10.17,86,73.83,14.02,1.84,33.77,4
876,Transient,A,219.88,396.07,4.25,104,68.93,15.28,2.1,26.3,3
877,Normal,C,234.17,331.17,2.06,205,36.32,36.74,3.94,26.07,0
878,Swell,A,274.05,387.57,1.55,11,72.42,6.79,4.36,28.96,2
879,Harmonics,C,234.89,332.19,11.61,209,52.59,32.8,2.83,37.88,4
880,Sag,B,125.48,177.46,2.21,38,50.9,38.53,1.85,20.21,1
881,Harmonics,B,224.0,316.78,14.18,252,32.11,9.92,4.18,21.98,4
882,Sag,C,151.11,213.7,3.81,21,14.75,25.56,4.77,37.76,1
883,Swell,C,264.01,373.37,2.57,104,12.81,44.16,1.55,22.55,2
884,Normal,C,229.43,324.47,2.26,101,45.79,20.13,1.94,29.61,0
885,Transient,A,231.29,360.16,3.08,114,10.89,15.71,4.28,24.19,3
886,Sag,B,153.96,217.73,2.32,134,39.81,17.71,3.22,34.61,1
887,Sag,C,147.54,208.65,0.7,26,79.99,38.25,4.57,28.96,1
888,Swell,B,268.28,379.41,4.6,230,97.85,28.95,4.62,21.66,2
889,Harmonics,C,227.55,321.81,10.94,259,78.67,22.38,4.82,38.21,4
890,Sag,B,149.76,211.79,1.58,254,71.63,10.64,4.15,20.36,1
891,Transient,A,234.86,381.52,4.0,121,36.1,33.3,1.47,33.1,3
892,Normal,C,227.38,321.56,1.63,227,85.5,6.45,3.08,31.34,0
893,Harmonics,B,228.45,323.08,14.39,142,37.95,32.71,3.76,28.08,4
894,Sag,B,148.76,210.37,1.24,143,59.6,36.89,1.46,26.11,1
895,Swell,C,254.72,360.23,2.36,141,19.28,47.44,4.18,23.63,2
896,Sag,C,141.78,200.51,3.73,235,54.23,37.49,4.75,21.83,1
897,Swell,B,288.14,407.49,5.03,128,67.43,17.97,1.94,34.61,2
898,Harmonics,A,236.06,333.84,7.99,129,31.69,47.13,3.08,27.3,4
899,Transient,B,224.19,408.21,3.85,227,44.0,19.25,3.71,25.79,3
900,Swell,A,284.09,401.77,3.01,10,15.27,18.74,1.63,23.48,2
901,Harmonics,B,231.44,327.31,11.49,121,71.98,49.04,3.91,38.57,4
902,Harmonics,C,228.58,323.26,12.26,34,42.36,10.66,3.36,30.5,4
903,Harmonics,B,219.95,311.05,10.92,297,32.79,45.92,1.41,20.98,4
904,Swell,B,279.97,395.94,4.68,63,71.59,21.2,3.67,20.81,2
905,Swell,B,257.31,363.9,5.29,282,98.29,32.62,4.17,21.71,2
906,Swell,A,257.77,364.54,4.92,191,83.39,27.26,1.54,37.71,2
907,Transient,A,230.34,434.01,2.21,274,12.26,37.53,4.24,35.94,3
908,Harmonics,A,222.93,315.27,8.98,264,50.24,24.66,4.14,21.87,4
909,Harmonics,C,229.79,324.98,11.74,177,72.84,14.35,1.08,29.59,4
910,Harmonics,C,232.3,328.52,8.45,124,55.77,26.45,2.08,20.58,4
911,Sag,B,139.77,197.66,2.3,72,54.55,10.89,3.78,24.12,1
912,Harmonics,B,229.01,323.87,9.68,263,65.75,41.14,2.73,35.72,4
913,Transient,B,235.56,399.56,6.06,66,61.82,12.36,1.5,20.53,3
914,Sag,B,171.43,242.44,2.53,281,14.43,43.36,3.19,23.95,1
915,Swell,B,272.54,385.43,1.71,68,24.27,41.57,1.53,24.67,2
916,Harmonics,B,237.97,336.54,10.31,80,20.18,12.03,2.75,27.94,4
917,Sag,B,131.6,186.11,4.33,148,30.42,30.9,2.69,30.3,1
918,Harmonics,A,226.56,320.4,10.42,231,60.61,35.19,3.81,25.83,4
919,Transient,C,231.02,384.2,6.38,173,63.08,25.25,4.43,39.14,3
920,Harmonics,A,233.44,330.13,12.58,23,50.9,14.42,1.01,24.83,4
921,Transient,C,227.75,381.72,1.81,44,50.7,11.01,1.19,35.51,3
922,Swell,A,264.09,373.48,3.94,151,66.74,45.85,2.68,35.67,2
923,Swell,B,269.79,381.54,1.76,237,11.99,33.83,2.66,25.4,2
924,Harmonics,B,230.31,325.71,8.04,198,62.89,16.76,4.94,26.19,4
925,Normal,A,233.29,329.93,2.54,252,49.74,47.52,1.57,32.86,0
926,Swell,A,265.92,376.06,3.97,224,71.7,39.15,3.13,32.77,2
927,Harmonics,C,227.97,322.4,5.23,184,36.54,5.69,1.88,25.64,4
928,Transient,C,234.71,423.53,7.26,38,10.27,16.16,4.71,38.64,3
929,Harmonics,A,230.6,326.12,10.27,164,35.88,19.99,2.71,22.79,4
930,Normal,C,230.34,325.74,1.64,104,35.26,48.75,1.61,34.67,0
931,Harmonics,A,221.12,312.71,9.08,60,68.65,37.07,3.75,26.39,4
932,Harmonics,C,225.77,319.29,13.57,71,81.45,34.76,1.43,29.75,4
933,Normal,A,229.27,324.23,0.82,34,91.86,5.81,3.23,35.75,0
934,Normal,B,233.25,329.87,1.85,62,52.37,44.52,3.34,33.48,0
935,Swell,C,266.68,377.14,1.8,230,18.61,46.16,1.36,32.96,2
936,Harmonics,C,234.91,332.21,4.08,102,69.77,23.87,4.86,33.68,4
937,Transient,B,234.33,458.71,3.46,269,90.99,25.17,2.1,27.86,3
938,Transient,A,226.81,382.47,6.78,221,29.42,12.14,2.25,22.12,3
939,Normal,B,223.62,316.24,1.82,114,81.78,29.21,2.24,22.9,0
940,Transient,A,231.51,433.35,6.63,260,93.48,7.98,2.47,28.05,3
941,Sag,B,166.51,235.49,2.98,275,89.15,26.95,3.52,21.59,1
942,Normal,C,228.05,322.51,1.48,138,61.45,45.63,2.58,39.62,0
943,Sag,C,150.11,212.28,1.66,155,11.84,32.2,2.11,37.25,1
944,Swell,A,254.05,359.28,3.3,175,46.83,18.01,4.24,36.01,2
945,Sag,B,160.12,226.44,3.01,260,44.08,23.82,3.19,31.07,1
946,Normal,C,219.63,310.6,1.12,10,74.67,14.62,1.79,28.26,0
947,Transient,C,224.96,399.98,3.55,153,95.8,26.83,4.9,20.16,3
948,Harmonics,B,216.43,306.08,18.94,175,25.45,34.42,1.1,21.27,4
949,Sag,B,148.89,210.56,2.99,76,15.41,19.65,1.57,34.2,1
950,Transient,A,224.37,416.55,4.69,52,25.86,32.28,2.35,31.71,3
951,Transient,B,223.27,420.97,5.81,139,11.09,28.35,3.42,39.26,3
952,Transient,A,242.05,396.71,6.21,242,84.55,19.53,1.95,25.25,3
953,Harmonics,A,224.58,317.61,11.98,235,55.55,37.27,4.33,34.85,4
954,Swell,A,270.89,383.1,4.71,174,91.06,42.06,3.73,34.02,2
955,Transient,B,234.95,393.96,4.0,197,48.22,11.88,4.23,30.2,3
956,Transient,B,237.78,403.74,4.93,52,18.08,31.58,3.4,28.38,3
957,Sag,A,163.63,231.41,3.61,76,93.84,36.85,3.99,23.94,1
958,Normal,C,227.94,322.36,2.27,56,20.22,41.27,2.01,24.98,0
959,Swell,A,275.72,389.93,4.1,94,45.87,12.66,2.02,25.26,2
960,Transient,B,239.23,406.36,3.85,241,79.44,20.81,4.25,26.39,3
961,Harmonics,C,228.41,323.03,12.39,126,20.53,13.32,1.45,26.83,4
962,Normal,B,239.53,338.74,3.16,120,53.52,12.1,4.06,29.85,0
963,Transient,B,230.84,403.39,3.28,23,79.11,6.82,1.49,24.06,3
964,Swell,A,271.04,383.32,3.1,285,62.76,21.08,3.31,26.85,2
965,Harmonics,C,222.7,314.95,12.81,63,22.31,23.75,2.54,30.68,4
966,Normal,C,226.69,320.59,2.06,175,56.04,47.46,1.17,30.06,0
967,Harmonics,A,233.04,329.57,11.92,125,36.91,30.19,1.03,21.65,4
968,Transient,A,231.15,402.47,3.87,275,92.81,26.16,1.12,33.8,3
969,Transient,A,239.72,402.45,4.98,28,64.72,9.71,2.82,24.78,3
970,Sag,B,153.21,216.67,4.0,23,84.94,14.04,2.81,33.84,1
971,Sag,C,147.23,208.22,2.33,150,83.57,47.0,4.75,38.28,1
972,Transient,B,235.57,418.78,3.39,104,86.39,18.42,3.39,30.06,3
973,Normal,C,235.61,333.21,2.36,93,42.72,28.92,4.49,33.75,0
974,Transient,B,228.83,405.83,5.05,279,82.45,5.88,4.32,22.88,3
975,Harmonics,C,228.93,323.76,13.76,249,87.59,42.76,3.61,30.05,4
976,Swell,B,286.22,404.77,5.13,288,42.12,9.87,2.68,34.54,2
977,Sag,A,143.03,202.27,3.24,17,45.03,19.1,2.85,27.8,1
978,Swell,A,279.78,395.66,2.91,188,80.34,46.89,1.98,31.54,2
979,Harmonics,B,232.58,328.91,8.05,77,12.39,30.29,1.86,26.82,4
980,Transient,A,232.57,377.13,5.58,134,82.33,28.92,1.75,28.51,3
981,Normal,B,230.66,326.2,2.48,29,25.14,36.22,3.58,33.75,0
982,Transient,B,238.01,417.48,3.8,20,65.07,21.81,3.81,36.71,3
983,Sag,A,120.06,169.79,3.91,188,71.18,30.14,3.5,21.93,1
984,Harmonics,A,230.27,325.64,12.6,130,86.69,30.16,3.13,28.05,4
985,Normal,B,243.55,344.44,1.97,215,51.25,34.68,4.66,21.8,0
986,Swell,C,284.05,401.7,5.16,147,34.53,44.22,2.94,26.11,2
987,Sag,B,150.22,212.45,4.08,71,99.73,24.15,2.39,34.2,1
988,Swell,A,268.29,379.42,4.75,255,86.15,38.11,1.85,22.91,2
989,Harmonics,B,227.61,321.89,9.87,35,56.51,41.86,3.19,20.82,4
990,Normal,C,232.6,328.95,1.92,71,36.61,31.15,4.78,36.24,0
991,Transient,C,226.19,411.21,4.17,274,87.19,16.98,3.06,22.14,3
992,Swell,C,278.02,393.18,4.87,216,75.04,14.2,2.35,29.4,2
993,Sag,A,142.62,201.7,2.62,127,98.19,15.16,3.45,28.66,1
994,Sag,C,165.98,234.74,3.22,125,36.0,8.88,4.75,27.56,1
995,Transient,A,225.7,389.5,3.35,74,48.95,27.19,2.06,34.09,3
996,Transient,B,219.67,442.43,4.58,145,59.56,16.28,2.59,28.56,3
997,Harmonics,B,219.87,310.95,11.88,257,94.52,16.25,3.14,33.79,4
998,Transient,C,238.1,410.61,2.73,163,52.76,40.7,2.44,38.78,3
999,Sag,C,167.4,236.73,3.09,104,55.73,7.83,4.34,35.69,1
1000,Sag,A,138.79,196.28,2.99,77,25.22,10.68,4.73,32.1,1
1001,Normal,B,231.7,327.67,1.22,284,40.02,14.85,2.99,25.54,0
1002,Swell,A,264.59,374.18,2.73,144,49.46,6.36,4.08,32.44,2
1003,Transient,C,226.9,386.1,5.44,202,27.23,12.53,1.72,33.44,3
1004,Normal,A,236.89,335.01,2.48,266,83.28,45.68,1.06,38.68,0
1005,Transient,B,234.68,370.97,4.86,185,71.07,30.68,4.78,28.86,3
1006,Swell,C,258.57,365.67,3.18,95,81.27,31.24,4.64,38.84,2
1007,Harmonics,C,221.68,313.5,12.65,177,81.09,33.55,3.13,27.85,4
1008,Harmonics,C,232.4,328.67,9.16,277,56.87,25.18,2.02,22.41,4
1009,Swell,C,286.87,405.69,3.17,143,66.26,20.24,1.51,28.29,2
1010,Sag,B,160.9,227.54,4.07,155,50.32,13.5,2.07,30.69,1
1011,Swell,C,271.22,383.57,3.08,120,37.37,39.69,2.31,24.84,2
1012,Swell,C,278.29,393.56,2.75,268,39.77,13.04,4.06,35.73,2
1013,Harmonics,B,229.53,324.61,10.7,81,56.97,34.87,2.52,34.39,4
1014,Normal,A,230.18,325.53,2.06,120,99.7,45.2,3.05,36.51,0
1015,Normal,B,236.11,333.91,2.8,264,29.94,28.04,3.2,30.77,0
1016,Harmonics,A,239.68,338.95,8.1,239,58.7,8.98,1.11,35.82,4
1017,Harmonics,A,230.09,325.4,13.63,199,22.51,16.36,3.93,23.29,4
1018,Swell,C,261.54,369.88,2.22,10,43.11,29.99,1.4,36.1,2
1019,Normal,B,229.24,324.19,2.24,100,89.62,32.73,2.71,23.65,0
1020,Normal,A,224.17,317.03,1.24,52,57.71,11.2,2.48,34.44,0
1021,Transient,C,239.91,391.11,6.81,227,32.6,32.19,4.52,26.49,3
1022,Swell,C,271.46,383.9,3.19,64,28.15,8.52,4.15,36.71,2
1023,Transient,B,226.02,411.34,3.84,220,59.2,36.92,1.2,21.39,3
1024,Sag,B,163.89,231.77,3.14,105,49.89,33.47,4.45,21.6,1
1025,Transient,B,229.45,396.32,3.84,246,36.82,5.53,2.2,31.56,3
1026,Normal,C,238.33,337.05,1.75,209,83.15,34.92,2.36,21.41,0
1027,Harmonics,B,230.64,326.17,8.5,258,78.78,29.28,1.52,30.53,4
